City_Name,Year_T,Unempl_Rate,Prop_in_Sec_Ind,Pop_Density,GRP,GRP_Growth,Prop_of_Sci_Exp,Prop_of_Edu_Exp,Num_of_School,Avg_Income,Net_Flow_T+1
Heyuan,1997,0.007,0.095,193,754919,0.122,0.004,0.087,0,4984,0.0143
Shanwei,1997,0.005,0.23,485,1032576,0.071,0.003,0.12,1,5562,0.0055
Meizhou,1997,0.007,0.198,296,1443303,0.047,0.009,0.138,2,5516,0.003
Huizhou,1997,0.004,0.281,239,3228699,0.205,0.006,0.088,1,6966,0.0081
Zhaoqing,1997,0.005,0.226,248,3310964,0.144,0.015,0.138,1,7122,0.0055
Yunfu,1997,0.018,0.318,313,1557306,0.063,0.012,0.104,0,6526,0.009
Deyang,1997,0.009,0.234,625,2151754,0.108,0.004,0.086,1,6472,-0.0025
Mianyang,1997,0.007,0.175,253,2751501,0.167,0.006,0.057,5,5437,0.0036
Guangyuan,1997,0.006,0.144,183,854992,0.04,0.002,0.187,0,4362,-0.002
Qingdao,1997,0.006,0.355,653,7977025,0.12,0.001,0.089,4,7030,-0.0007
Yinchuan,1997,0.013,0.311,265,754963,0.099,0.003,0.131,4,5860,0.0127
Tianshui,1997,0.013,0.166,227,611920,-0.042,0.004,0.208,1,4536,0.0041
Baiyin,1997,0.013,0.22,79,590030,0.106,0.003,0.113,0,6732,0.0121
Lanzhou,1997,0.009,0.376,214,2436800,0.086,0.007,0.105,13,6578,0.0068
Hanzhong,1997,0.007,0.104,134,1225011,0.071,0.002,0.227,4,4370,-0.0067
Yan'an,1997,0.033,0.116,52,679634,3.289,0.004,0.224,2,5034,0.0006
Weinan,1997,0.003,0.183,393,1409854,0.089,0.001,0.347,3,4470,-0.0004
Baoji,1997,0.004,0.262,194,1501453,0.169,0.015,0.079,1,5663,0.0032
Tongchuan,1997,0.039,0.37,210,340309,0.101,0.004,0.084,0,4491,0.0025
Xi'an,1997,0.012,0.284,663,5005543,0.144,0.004,0.116,29,5785,0.0047
Qujing,1997,0.003,0.103,175,1837703,1.867,0.017,0.209,2,6952,0.008
Kunming,1997,0.001,0.253,247,4873321,0.138,0.004,0.086,16,8224,0.01
Zunyi,1997,0.004,0.152,224.46,1939730,3.16,0.005,0.125,2,4549,0.0045
Liupanshui,1997,0.013,0.231,269,633885,0.108,0.002,0.18,1,6050,0.0098
Guiyang,1997,0.019,0.318,399.88,1975101,0.164,0.005,0.131,10,5813,0.0079
Yibin,1997,0.006,0.12,375,1510914,2.17,0.001,0.183,1,4700,-0.0001
Nanchong,1997,0.005,0.197,567,1346856,0.107,0.002,0.286,3,4112,-0.0065
Leshan,1997,0.006,0.178,268,1218879,-0.405,0.001,0.282,1,5156,-0.0033
Suining,1997,0.009,0.208,695,1045339,0.093,0.007,0.172,0,4395,0.0021
Zhanjiang,1997,0.014,0.191,503,3485591,0.071,0.003,0.079,3,6488,0.0103
Shizuishan,1997,0.051,0.411,152,393892,0.082,0.005,0.097,0,6711,0.0018
Foshan,1997,0.012,0.47,842,7245687,0.153,0.002,0.108,1,10787,0.007
Luohe,1997,0.004,0.257,946,1260487,0.13,0.007,0.141,0,4030,0.0064
Xuchang,1997,0.011,0.204,862,2220949,0.267,0.007,0.102,1,4355,0.0017
Puyang,1997,0.01,0.223,805,1650250,0.14,0.011,0.087,0,6257,0.007
Jiaozuo,1997,0.007,0.316,778,2463681,0.051,0.004,0.099,2,4876,0.0062
Xinxiang,1997,0.016,0.221,642,2469749,-0.043,0.007,0.077,6,5179,0.0038
Hebi,1997,0.017,0.327,620,699629,0.04,0.006,0.116,0,4943,0.0134
Anyang,1997,0.009,0.266,685,2175825,0.016,0.006,0.202,2,5208,-0.0035
Pingdingshan,1997,0.006,0.222,595,2257818,-0.039,0.004,0.124,2,6099,0.0033
Jiangmen,1997,0.021,0.303,395,4578679,0.072,0.015,0.146,1,8136,-0.0015
Kaifeng,1997,0.009,0.249,710,1757100,0.088,0.009,0.198,4,4242,0.0025
Sanmenxia,1997,0.008,0.222,203,1309258,0.13,0.003,0.099,0,5555,0.0039
Zhengzhou,1997,0.007,0.312,802,5744045,0.119,0.003,0.11,20,6797,0.0096
Linyi,1997,0.004,0.217,569,4268200,0.129,0.001,0.123,2,5208,0.0044
Laiwu,1997,0.008,0.361,543,945175,0.069,0.027,0.211,0,6459,0.0012
Rizhao,1997,0.004,0.202,511,1571300,0.113,0.007,0.173,1,5323,0.0021
Weihai,1997,0.003,0.38,451,4775900,0.164,0.006,0.102,3,5712,-0.0044
Tai'an,1997,0.004,0.27,687,3135200,0.145,0.009,0.16,5,5907,-0.0003
Jining,1997,0.01,0.235,685,4805700,0.112,0.005,0.177,6,6407,0.0009
Weifang,1997,0.004,0.337,523,7180000,0.105,0.006,0.14,3,5834,0.002
Yantai,1997,0.003,0.333,467,7250000,0.104,0.027,0.177,4,6067,-0.0044
Dongying,1997,0.014,0.355,211,3001800,0.112,0.003,0.105,2,10069,0.0079
Zaozhuang,1997,0.005,0.303,772,2141160,0.019,0.006,0.161,1,6005,0.0046
Dezhou,1997,0.008,0.172,505,2678664,0.165,0.008,0.14,2,4446,0.0024
Nanyang,1997,0.007,0.23,393,4390280,0.128,0.006,0.171,2,4807,-0.0026
Luoyang,1997,0.019,0.27,399,3350102,0.13,0.005,0.099,6,6024,0.0028
Wuhan,1997,0.016,0.374,855,9123256,0.146,0.008,0.12,33,6406,0.0048
Shantou,1997,0.006,0.364,2001,3735241,0.16,0.007,0.142,1,7715,0.0059
Shangqiu,1997,0.007,0.172,736,2248588,7.905,0.003,0.223,1,3817,0.0066
Shaoguan,1997,0.033,0.208,161,1733320,0.09,0.006,0.093,1,6619,0.0059
Guangzhou,1997,0.015,0.38,897,16462567,0.134,0.008,0.082,26,13118,0.0054
Huaihua,1997,0.017,0.117,173,1900695,4.555,0.004,0.137,1,4828,-0.0008
Chenzhou,1997,0.006,0.111,229,1895096,0.189,0.013,0.152,2,5548,0.0009
Yiyang,1997,0.008,0.151,368,1730754,0.12,0.006,0.207,2,4110,-0.004
Changde,1997,0.01,0.14,326,2831623,0.093,0.002,0.133,2,4881,-0.0032
Yueyang,1997,0.017,0.177,340,2795623,0.132,0.003,0.107,2,4859,0.004
Yongzhou,1997,0.004,0.125,247,2138027,0.127,0.012,0.144,1,4600,0.0054
Hengyang,1997,0.015,0.21,452,2643541,0.105,0.005,0.108,6,4752,0.0003
